Text,Label,TextLength
صلاة الجمعة يرحمكم الله . قال تعالى إن الصلاة كانت على المسلمين كتابا موقوتا . فهبوا الى المساجد.,1,97
قال تعالى  وما كان الله معذبهم وهم يستغفرون.   استغفر الله واتوب اليه  .,1,72
الناس مش بترحم حتى على حزننا بتحسدنا   .,0,40
البعد حاجة وحشة اوى . يا مطول الغياب حن علينا  .,1,48
انا عايزة انتحر .,0,17
اللي يراضيك لازم تراضيه وتحطه علي راسك .,1,40
الواحد من غير صحابه في الجامعة بيحس انه يتيم كدا . ربنا ما يحرمني منكوا ابدا .,0,78
بحب اوي القاعدة علي البحر في الشتاء قاعدة بالدنيا وما فيها .,1,60
بجد بكرا هتشوفوا مصر هتبقى احسن بلد فى الدنيا .,1,47
عندما تصدمك قلة ذوق البعض معك . لا تستغرب فهذا دليل على اخلاقك ورقيك . فلو كنت مثلهم لكان الامر اعتياديا .,1,106
الاستغفار بيغفر الذنوب  استفر الله واتوب اليه .,1,47
مش عايزة اروح الشغل بعد العيد.,1,30
قمت العذاب ان اليوم الوحيد اللى بتاخده وينك اند مش بتقدر تخرج مع اصحاب بتبقى عايز تنام وبس .,1,92
طبعا كلنا بنغلط . مفيش حد مش بيغلط      .,1,41
يخربيت شقاوة  العيال.,1,21
ايام كتير ضاعت منى وعدت من غير ما اذاكر ولا كلمة .,1,50
وهي الدنيا الحلوة إيه غير ركعة وإبتسامة ورضا ربنا .,1,51
احلامي كتيرة والله بس اولها اخلص دراسة واتخرج .,1,47
الدنيا من غير امى ما تسواش .اه يا حزنى .,1,40
انا قاعدة نايمة بحلم بمشروع التخرج والمناقشة .,1,46
قدامى دلوقتى فى التليفزيون مصطفى بكرى و احمد شفيق فى شاشة واحدة لا ياربى كدة كتير عليا .,0,88
الواحد عايز اختراع كدا يدور على الحاجات اللى بتضيع من الواحد فى البيت .,1,71
هى قتل الأرواح بالساهل كدا يا جدعان . شعب واطى صحيح   .,0,55
‏فى ناس فى الميدان دلوقتى بتتقل وتتصاب.,0,39
مش فارقة ولد ولا بنت فيه بنات بيبقوا السند اللي بجد لاهاليهم .,1,62
مفيش احلي من انك تصحي كل يوم علي صوت اهلك في البيت .,1,52
الناس بتتغير فى ثانية.,0,22
هو ده منظر مجلس شعب . يا جدع ده انا بموت من الضحك منه .,1,55
الدنيا ملهاش طعم من غير الناس اللي بيحبونا بجد هما اللي بيحلوا الحياة .,1,71
اللهم قدرًا جميلاً وخبرًا سعيدًا ودعوةً مستجابة. انا وكل من قال امين .,1,70
يا خراشى مش عارفة اذاكر ايه ولا ايه .,1,37
بحس ان مش انا اللي بكتب . دي روحي هي اللي بتكتب وبترسم كل حلم حلمته علي ورقة .,1,78
عبارة خطيرة قد تودي الى الشرك والعياذ بالله : هي انك تقول بكرا يحلها الف حلال والصحيح يحلها الله سبحانه .,1,105
‏انا معك . تلك الجمله تريحني و تزيل نصف التعب الذي احمله . شكرا لكل من لفظها  وهو صادق بها      .,1,97
أقولها لكم لا تحزنوا فلنا رب كريم رحيم. قال الله تعالى   أدعوني أستجب لكم.  فادعوه فهو كفيل بإن يبدل حزنكم فرح    .,1,115
والله لو راينا جزء من الجنه ما غفلنا عن ذكر االله ساعه .لااله الا الله.,1,71
صباح الرضا والتوفيق من الله. يا رب يكون يكون يومكم خفيف وجميل .,1,63
الانسان اللي واثق من نفسه بيتناقش مع اللي قدامه مش بيجادله . بيبقي عايز يوضح وجهة نظره بمنطقية .,1,96
صباح الخير عليكوا يا احلي ناس .ان شاء الله هتشوفوا اجمل خبر علي الصبح.,1,70
يلا نصلي الفجر عشان فيه خير كتير .قال صلى الله عليه وسلم ركعتا الفجر خير من الدنيا وما فيها  .,1,94
انا فى العيد عندى كم خمول غير عادى . بصحى من النوم علشان انام تانى .,1,68
احذر  من التغريدات التي قد تدخل ضمن القيل و القال يا احبتى التى حذر منها النبي صلى الله عليه وسلم .,1,99
الواحد فى مرحلة البحث عن الذات . مرحلة انا مش عارفنى.,1,53
انا اللى كنت عايز ابقى دكتور جامعه .دلوقتى بقى كل هدفى بس انجح صافى .راحت الاحلام.,0,82
المشكلة الحقيقية فى نظرى هى جهل الروح .,0,39
عندما نرى أحداث الدنيا المخيفه نتخلى عن كثير من الاحلام و الامنيات  و نتمسك بأمنيه واحده .أن يحسن الله خواتيمنا .,1,113
ليه الواحد لما يكره حد ويبقى مش عايز يشوفه . بيشوفه فى كل مكان .,1,64
الأخت الكبيره هى بتقوم بدور ام فى غياب الام .,0,45
من اهم تغيرات مصر ما بعد الثورة . امى بقت بتتفرج على باسم يوسف  وبسمع صوت ضحكها من وانا فى الشارع . اتغيرتى يا امى .,1,116
تعريف الملابس  هي كائن يتكاثر عند الغسيل والكوي والتنظيف والترتيب.  وتختفي عند المناسبات . من أصدق ما قرأت.,1,107
صديقى العزيز انا احبك فى الله واظنه حب خالصا لله . لانك لا مال ولا جمال ولا جاه ولا منك فايدى .,1,95
ربي اعطني  ابتسامه  لا تغيب . و حزن لا يدوم.أنا و كل من قال امين  .,1,67
هي الفرقة مش جامدة اوي يعني بتتغلب كتير فاحنا هنقدر نغلبهم ان شاء الله . بس يارب نفضل بنفس الحماس ده .,1,102
لا تنسوا فى  زحام حياتكم ان تستغفروا الله كثيرا .فلا تدرون كم من البلاء قد ينزاح عنكم .,1,87
عبد الناصر الله يرحمه قال لو لقيتوا أمريكا راضية عنى. اعرفو انى ماشى فى الطريق الغلط .كان بيقول حكم الله يرحمه  .,1,113
وحش اوى التكبر يا جماعه .لو المتكبر عارف انه بيتشتم قد ايه. كان بطل التكبر ده من زمان .,1,87
انا المفروض يدوني مرتبين فى الشهر. عشان انا تعبت  كل يوم اركب موصلتين عشان اروح و زيهم عشان ارجع . هو احنا كفرة  .,1,114
لما بسمع كلام مرسى فى السياسة مش بعرف  امسك نفسى من الضحك عليه .,1,64
مش كده يا عم. فكرة إنك حارق واحد من غير ما تكون حتى عارفه . دى صعبة اوى .,1,73
"صلاة العشاء. قال رسول الله صلى الله عليه وسلم يقول ""من صلى العشاء في جماعة فكأنما قام نصف الليل "".",1,98
و الله الحياه حلوه و الناس ماشيه تغنى فى الشارع ‎.,0,50
انزلوا من بيوتكم عشان نجيب حقوقكم . الكلام ده للناس اللي هتقول لا ، اما لو هتقول نعم فخليك يا عم مش عايزينك  .,1,110
وساعات بتكون الاحلام هى الطريقة الوحيدة اللي تقدر تشوف بيها حد بتحبه .,0,70
تقريباً  الشعب فرحان إنه قال  لأ  مرة من نفسه .  لأ  حلوة مفيش كلام أنا كل اللي أعرفهم قالوا  لأ .,1,98
الناس مش فالحة الا فى التريقة والنقد.,0,37
من اراد الرحيل فليرحل وله منى ابتسامه من القلب .خلاص مش هنسك فى حد اتانى .,1,74
هى الناس دى مابتشيلش حاجة فى جيوبهم.,0,36
بعض الشعب يكره الطماطم بس يحب الكاتشب . مش عارف يعنى هو الكاتشب معمول من تفاح مثلا يعنى.,1,88
لا تنسوا  فى  زحام حياتكم ان تستغفروا الله كثير. افلا تدرون كم من البلاء قد ينزاح عنكم .,1,88
انا قاعد فى الحمام بقالى  ساعات .علشان مش عايزة اروح انزل للاستفتاء وبابا مصمم انى اروح  .,1,90
أول ما بفرح أوي بخاف أوي .أصل انا من الناس الفقرية اللي لازم بعد كل فرحه تحصل حاجة تنكد الدنيا علي دماغي .,1,106
هو حضرتك متعرفيش ان الاستفتاء اتعمل ونتيجته لمزيد من الشفافية .حاول تعمل انك مصدق ان احنا فى عصر الشفافيه   .,1,109
السعادة هى انى اولع فى الكتب وادفى  .,0,37
اكتر حد حبيته فى حياتك  . هو اكتر حد مش عارف انت حبيته ليه اصلا.,1,64
انا بعد علي النت عشان اتسلي واضيع وقت مش اكتر وانسي شوية تعب الشغل .,1,68
انا عايز الناس اللي بتحبني بس هي اللي تفتكر عيد ميلادي مش عايز مجاملات .,1,72
أنك تكون لوحدك أحسن من انك تكون مع ناس مش عارفين قيمتك أصبر و في يوم هتقابل ناس يستاهلوك و يقدروا قيمتك  .,1,106
"بكى عمر بن عبد العزيز ثم قال "" اللهم انك قلت ورحمتي وسعت كل شيء . و انا شيء فلتسعني رحمتك "".",1,92
بستغرب جدا من الناس اللى متعرفش سؤال فى الامتحان و تسيبه .  ده انا بكتب اجابه احسن من الاجابه النموذجيه كمان من التاليف.,1,120
اخويا هو احن الناس عليا .وقف جمبى فى عز محنتى .ربنا ما يحرمنى منه ابدا ويوفقه فى حياته.,0,87
لازم يكون عندك رغبة فى التغيير من جواك .مش مجرد كلام وبس .وان شاء الله تقدر .,1,77
صعب اوى لما يكون عندكم ضيوف وانا مش عايز تتكلم معاهم ولا طايق حد .,1,66
هو انا الوحيد اللى مش عارف ايه اللى حصل فى البلد .,1,50
هي راحت مع اللي قلبها مرتاحله مش اللي مع اللي الناس شايفاه مناسب .,1,66
فى مصر الحاجه الوحيده اللى بتبدا فى الميعاد المحدد لها هى الامتحانات .,0,70
انا موجودة والله مش مختفية ولا حاجة بس بدور علي افكار جديدة ارجع بيها .,1,71
ﻭكم من ﺿﺤﻜﺔ ضحكتها وانا مش عارف اللى قدامى قال ايه اصلا   .,1,59
وما اريد من الحب الا ان نتقى الله فيمن نحب. لنعبر سويا الى الجنة  .,1,67
لا طبعا اصلي اتعودت على اني اقضي كل المناسبات لوحدي  فا مش جديد عليا  .,0,71
وانتوا بتدعوا لمصر كده ادعولي انا كمان عندي امتحان الصبح يا جدعان   .,1,69
هى الناس بتلاقى كراسى فى الاوتوبيس علشان يبقى فيه واى فاى .,0,59
انصحكم بإستغلال ليلة راس السنة فى الطاعه وسط كل الناس اللى مش فى دماغها غير الاحتفال  .,0,87
. ماما تعالى خودينى من الشغل زى ما كنتى بتيجى وانا فى المدرسة تاخدينى . مش عايزة اكمل شغل,1,89
انت من الناس اللى مش بتتكرر فى الزمن كتير .احبك فى الله .,0,57
تحية لكل بنت مش بتقول كلمة فشخ فى الكلام بتاعها .لانها كلمة عيب اوى .,1,69
كل اللي قاعدين دلوقتي اتخرجوا. يعني انا الحيوان الوحيد اللي مش بيذاكر.,1,70
الاحزان لا يمكن ان تنتهي، والبشائر لا يمكن ان تختفي، كل ما عليك ان تدرب نفسك على الصبر عند الاولى، والشكر عند الثانية .,1,119
الناس كلها بتسال دلوقتى خلصت ابه فى المواد  الا انا بسال ابدء بايه فى المواد .,0,78
دايم فيه شخص يراقبك و يخاف عليك الا انا سبحان الله ماعندي الا ناس تراقبني و تحسدنى وتجبنا ورا  .,1,96
انا قررت اني انام كل يوم علي ناحية مختلفة من سريري واهو اسلي نفسي لحد ما الاجازة تخلص .,1,87
و انا صغيرة كنت فاكرة ان الفلوس هيه اهم حاجه فى الدنيا بس اما كبرت بقى اتاكدت من الكلام ده .,1,92
متغيرتش بس فعلا فكرت لو وجودي كان هيفرق كان هيفرق من زمان مش اكتر .,1,67
طب الحمد الله يا رب دايما مبسوطة كده وأفضل اضحكك علي طول وكلامنا مش هيخلص ابدا ان شاء الله .,1,92
هو معظم تويتاتى اللى بكتبها بتبقى فيها كلمه فشخ عشان هى الكلمه الى بتعبر عن حالى المفشوخ دايما    .,0,99
انك تلعب قدام فريق اسرائيلى اه بتضايق بس دى كورة مش اكتر ومبحبش اتكلم فى الحكاية دى .,1,85
انا مش عايزة اسئلة فى الامتحان والله . ياريت حد المرة الجاية يجي يديني اجابات .,1,79
هي الناس اللي بتتوتر وهي داخلة الامتحانات دي ليه . مش بيقوا مذاكرين من الاول .,1,78
من غير فلسفة لازم تعرف ان الضحك والهزار والتريقة هي اكتر حاجة بتطول العمر .,1,75
ده اللي بيسموه الرفض المؤدب يعني انا لو قولتلك ان شاء الله خير . يعني عمري ماهعمل اللي انت طلبته .,1,98
والله انا كان نفسي اكسب حاجة عليها القيمة فعلا مش حاجة تافة .,1,61
نفسي هي الحد الوحيد اللي انا بثق فيه اكتر من اي حد .,1,52
قمة المسخرة لما العكش قال يا شعيب مصر انا لم احسم قرار ترشحي فى الرئاسه حتي الان  .,1,83
مجرد نصيحة لو مراتك غيرت تسريحة شعرها مثلا و سألتك رايك حتى لو مش عاجبك قول حلو .لان لو مقولتش هتتنكد يا حلو  .,1,111
شكرا لكل الناس اللى وقفت جمبنا فى حياتنا .,0,42
السواق بتاعي مش عايز يجي النهاردة علشان الدنيا برد يعني انا كمان اغيب من الشغل عشان خاطرك .,1,91
العريفي قال ان ارض مصر مش ممكن يحصل فيها فتن .,1,46
يا بخت اللي دايما محافظ علي صلاة الفجر مش بتصحيه مدرسة ولا جامعة ولا شغل لكن بيصحى اشتياق لربه .,1,96
لا ممشتش ولا حاجة انا بس قافلة الفيسبوك شوية علشان عندي امتحانات ورجعلكوا تاني ان شاء الله .,1,92
انا مش عايزة العيد يجى .علشان لازم كل عيد يحصل خناقه تسمى خناقه العيد .,1,71
لو لقيت الناس بتمدح فيك كتير ادعي لربنا انه يغفرلك اللي هما مش عارفينه ويجعلك احسن من ظنهم .,1,92
البلد بتصحي علي زحمة وبتنام علي زحمة هي مش من حقها يوم راحة يعني محدش ينزل من بيته خالص .,1,89
يابني ياحبيبي الشطارة مش انك تكدب علي بنت انما الشطارة هي انك تفتكر كدبتك كانت ايه .,1,84
انا دلوقتي عرفت ليه الواحد مش بيتكلم غير علي الناس اللي ماتوا او اتسجنوا عشان يعرف يحط كلام من عنده براحته .,1,108
لو كل مريض نفسي  كان لازم يتحجز في مستشفي نفسي   . مش هيفضل الا كام مليون هربانين   .,1,85
لا انا بحب القراية من زمان اوي واول حاجة قريتها كانت سلسلة رجل المستحيل كلها .,1,78
مسك يدها بكل رومانسيه وقال لها حبيبتي لماذا لا نعود مثلما كنا من قبل. قالت  كيف قال لها  لا أعرفك ولا تعرفيني  .,1,112
انا بقول احنا نجيب مبارك و تقوله احنا اسفين يا حج و يلعن ابو الي يزعلك .,1,72
انت لوحدك كفاية مش عايزة ناس تانين الدنيا معاك بتبقي اجمل بكتير .,1,65
يعني ايه اشرحي فصلين من امتي الطلبة هي اللي بتشرح اعمل ايه انا دلوقتي .,1,71
التفاهة هي انك تضيع قيمة اللي معاك بانك تفضل تتحسر علي اللي مش معاك .,1,69
اتربينا علي طيبة القلب من ساعة ما كنا عيال بس كبرنا ولقينا ان مش كل الناس اتربت زينا .,1,86
الواحد لازم يكون عنده حاجتين اولهم الخيال عشان يعوضه عن اللي مش عنده والتانية هي خفة الدم عشان يهون عليه اللي هو فيه .,1,118
قال تعالى  والمستغفرين بالاسحار .السحر من أفضل أوقات الاستغفار من الذنوب  فردد ربي اغفر لي ولوالدي .أستغفر الله العظيم .,1,120
هى الناس الى اتغيرت ولا انا الى اتغيرت .,0,40
يعني احنا راكبين مواصلات وقاعدين كلنا مش مركزين وفات علينا المكان اللي هننزل فيه من غير ماحد ياخد باله .,1,104
هى الناس اللى بتخلص المواد وتراجعها كام مرة دول حقيقين.,0,55
تحية لكل شاب مبيقولش لاى بنت يعرفها من يومين انا مرتاحلك و بقيتى حاجة مهمة فى حياتى .,1,85
بص هو انا قليل اوى لما بدخل فى نقاش مع حد بس انت نرفزتنى اوى بصراحه .,1,69
هى الناس مش بتقوم على تويتر صلاة اكل اى حاجة .,0,46
"هزتني هذه اڵعباره ""اذا كان الله يسامح ، فمن نحن حتى لا نسامح"".مقولة حلوة اوى  .",1,79
ربنا يكرمك انت من الشخصيات الصريحه اللى مش هشوف زيها تانى . ربنا يوفقك فى حياتك ان شاء الله    .,1,96
مش فاهم ايه الموضه فى حواجب ابو لهب اللى البنات عملاها  .والله ابو لهب احلى منك .,1,81
الناس اللى متخرجه انتم فى نعمه .,0,32
لا البلد عايز الناس تتاجر فى الحشيش والسلاح .,0,45
هى السنة كدا لازم تقفل بنكد تعبنا من التعامل مع الناس الوسخه.,0,61
عندى يوم قبل المادة الجاية يا جدعان .ونبى اذاكر فيه ايه ولا ايه .حسبى الله فى اللى حاطط الجدول   .,1,98
مهما كانت الدنيا مش فارقة معاك ومحدش بيهمك في انسان بتقف عنده وتفرمل كل حاجة.,1,77
نفسى اعيط يا جدعان و مش عارفة اتعاطف معاهم بصوتهم دة. احط قطرة فى عينى طيب ولا اعمل ايه.,1,88
عارف يعنى ايه بتفرح من اى حاجة بتحصلك فى الدنيا .ان عندك نعمه كبيرة اوى وهى الرضا .,1,83
انا اللي كان قاتلني و اللي كان كاسرني بيستقلوا بيا و كمان مستصغرني. فاكرين  الدنيا دايمه  و الله ما يعرفوش.,1,107
هو  بصرف النظر ان انا وانت  لينا  وجهات نظر مختلفة فى حاجات كتير .الا انى بعتبرك شخص شجاع ومحترم .,1,98
تلك العيناها اصفى من ماء الخلجان ،  تلك الشفتاها اشهى من زهر الرمان الله عليك يا كاظم  .,1,88
فى ناس اسكت و مااتصلش  بيهم .مش عشان ناسيهم لا .بس عشان اثبت ليهم انى لو انا ما اتصلتش انتم مش هتتصلوا  .,1,105
يلا كلنا نركب عجل .انا ناوى ان شاء الله اعمل رقم قياسى جديد واروح وارجع بالعجلة من مدينة نصر لاكتوبر .,1,102
في اخر يوم من السنه اللهم اني اسالك بان تكون سنة خير وسعاده.لكل من قال امين .,1,77
ادعوا لزميلى عمل حادث هو سايق عربيته .وهو دلوقتى فى غيبوبة ومفاقش .ولو فاق احتمال كبير يكون فى ضرر دائم .,0,105
مفيش فى جمال الناس الوفية واللى قلبها ابيض .,0,44
عارفه يا كينج والله بس المشكله دماغى واقفه مش عارفه اذاكر .,1,59
اتمنى انها تكون سنه حلوه  سعيده اتمنى ان كل اللى انا خسرته  ربنا يعوضنى باحسن منه ان شاء الله  .,1,96
يا ولاد المره انا بقالى  سنتين متخرج من هندسة ومش لاقى شغل غير كاشير .قال يقولك الشباب هى اللى مش عايزة تشتغل .,1,111
شوفتوا اللي بيشتري دماغه وبيعيش فى حاله الناس بتحبه ازاي.,0,57
اللهم يا مغير الاحوال غير حالي إلى احسن حال . ويارب سخر لي من حظوظ الدنيا ما تعلم انه خير لي و اصرف عني كل ما هو شر لي.,1,119
اوقات نستحق جائزة نوبل فى التعامل مع بعض الناس .,0,48
اكتر حاجة لفتت نظري في تسريب مكالمة مصطفى النجار انه قال كلمة يا كبير اكتر من عدد سكان قطر.,1,91
الناس اللى بتدخل فى حياتنا ببقى عايزة اقولهم وايه دخل امكم بالموضوع .,0,69
السعاده فى الجو ده هى انك تقعد فى مكان حد كان قاعد فيه قبلك و يكون دافى.,0,72
هى ليه بعض الناس متمسكة بالغباء اوى كدا .,0,41
هذا حال الدنيا ناس تحت التراب وتزورونا في المنام وناس فوق التراب و مش بتسال فينا   .,1,84
الدنيا مش مستاهلة انك تزعل من حد ولا علي حد.,1,44
كرة القدم في مصر هى اللى بتجمعنا       .,0,40
الناس اللي ليها فى  التكنولوجيا زي العبد لله ليهم حق يتجننوا والله	    .,0,72
يعني هي بتحبة ولا لا فالقصيدة الجديدة مش فاهمه حاجه	  .,1,55
ممكن يكون عندك صاحب تتمنى انك مكنتش تعرفة مش علشان بتكرهه علشان بتخاف من فراقة	 .,1,81
هو كان فى حلاوة وجمال برنامج الدكتور مصطفى محمود .الله يرحمه .,1,62
نصيحه : ابعد  عن الناس النكدية والمملة فى بداية يومك .,0,54
نحتاج لبعض الاحلام احيانا ولو كانت احلام بعيدة المنال او مستحيلة .مش كفاية الزمن عليا   .,0,89
لازم امك تقوم تجري وراك وتقولك قوم يا احمد روح الصلاة .مينفعش من نفسك يعنى  .,1,77
"الرجال قوامون على النساء . قال تعالى:"" في سورة النساء الرجال قوامون على النساء بما فضل الله بعضهم على بعض ""  .",1,110
امي عندي ونفسيتي تعبانه اتخانقت معاها  للاسف . طبعا انا الغلطانه اكيد وزعلت من نفسى مش عارفة اصالحها ازاى .,1,107
هي دي كانت اغرب وجبة انا دوقتها في حياتي كانت غريبة بس طعمها كان حلو .,1,70
لا يا عم . بجد حسبي الله ونعم الوكيل في الناس الي مش بتوضح الحاجه من الاول وتلبسنا في الحيط دي  .,1,97
والله انا مش مصدق نفسي من الفرحة الماتش كان صعب اوي بس احنا عملناها وكسبنا  .,1,77
انا مش عايز من الدنيا حاجه غير قلب طيب لو ضاقت الدنيا.,1,54
"ذاكرتي ضعيفه , تجيلي واحده من زمان تسلم عليا وانا بس ابتسم مش فاكره هي مين .",1,76
يا الله أنت الحق أنت العدل أنت الأمن فينا والرجاء لا شيء غيرك يوقف الطوفان .,1,76
"ازرع في قلبك الرحمة والعطف و ارحم الصغير والكبير . قال رسول الله صلى الله عليه وسلم  ""من لا يرحم لا يرحم "" البخاري.",1,115
فيه ناس بتفهمك من شوية كلمات معدودة ومتلخبطة كمان بس هما حاسين بروحك مش بكلامك .,1,80
كل ما الثورة تبتدي نرجع احنا نهدها محدش عاوز ينزل انا لو فى القاهرة كنت نزلت .,1,78
يا ناس للدرجه دي كلامي مش مفهوم . ولا الناس مبقتش تفهم خلاص من كتر القرف اللي عايشين فيه .,1,90
هي اه لعبة بس انا لما لعبتها والله ارتحت نفسيا وفكيت عن نفسي .,1,62
لو كان بيحبني مكنش سبني وراح لحد تاني ، بكره الايام تثبتله انه مش هيلاقي زيي وانا اكيد هكون فمكان تاني احسن باذن الله .,1,119
مش عارفه التويتات بتاعتي بتروح فين انا مش بشوفها ليه يا جدعان .,1,63
كان النبي صلي الله عليه وسلم اذا دخل الخلاء قال اللهم اني اعوذ بك من الخبث والخباءث .رواه البخاري  .,1,100
لما اموت قولوا لامي ان انا مسافر علشان هي دي الوحيده الي هتعيط من قلبها عليا مش من عنيها زيكوا  .,1,97
زلزال مصرالان  بلاش تريقه يا جماعه بالله عليكوا .احنا مش ناقصين دى قوه الله عز وجل حتى دى هانتريق عليها .,1,105
يا رب انا عارفة ان الصداع ده طالما مسك فيا مش هيسبني يومين قدام بس خليني استحمل بس عشان الصيام .,1,96
قال الله تعالى  شهر رمضان الذي أنزل فيه القرآن هدى للناس وبينات من الهدى والفرقان فمن شهد منكم الشهر فليصمه .مضان كريم .,1,120
ذاكرتي ضعيفه . تجيلي واحده من زمان تسلم عليا وانا بس ابتسم مش فاكره هي مين .,1,76
الله يرحمك يا عم جلال كنت بتقولنا البلد ديه حالها عمره ما هيتصلح الا لما ناسها تفوق من  اللي هما فيه .,1,102
تعبانه وعايزه انام . بس مش اقدر انام من كتر الصداع .,1,52
مش شرط تعرف الناس فى الحقيقة او تعرف كل حاجة عنهم يكفى لما تتكلم معاهم صدفة ترتاح و تضحك معاهم ده اسمه الحب في لله .,1,116
هي الاكلة دي انا طول عمري بحبها مهما كان المكان اللي هاكلها فيه .,1,65
هل حياتك منظمه ام لا ؟  لا هى محتاجه فلوس تنظمها .,0,50
